Time, nFrame,relativeTime,bodyIndex(str),bodyIndex,X,Y,Z,state
18_37_41_0539, 5,133,AnkleLeft,14,-0.480036,-0.661727,0.848873,1
18_37_41_0539, 5,133,FootLeft,15,-0.514162,-0.578669,0.907750,1
18_37_41_0539, 5,133,HipRight,16,-0.513076,-0.404902,1.158851,2
18_37_41_0539, 5,133,KneeRight,17,-0.397448,-0.185175,0.925764,2
18_37_41_0539, 5,133,AnkleRight,18,-0.575325,-0.634795,1.199865,2
18_37_41_0539, 5,133,FootRight,19,-0.562399,-0.694556,1.127436,1
18_37_41_0539, 5,133,SpineShoulder,20,-0.750872,0.095009,1.335197,2
18_37_41_0539, 5,133,HandTipLeft,21,-0.676945,-0.108372,0.832943,1
18_37_41_0539, 5,133,ThumbLeft,22,-0.669692,-0.112234,0.828384,1
18_37_41_0539, 5,133,HandTipRight,23,-0.317014,-0.222154,1.027545,2
18_37_41_0539, 5,133,ThumbRight,24,-0.354824,-0.246782,1.065357,2
18_37_41_0573, 6,167,SpineBase,0,-0.598080,-0.426206,1.159695,2
18_37_41_0573, 6,167,SpineMid,1,-0.689265,-0.121867,1.265725,2
18_37_41_0573, 6,167,Neck,2,-0.769316,0.164020,1.354742,2
18_37_41_0573, 6,167,Head,3,-0.860875,0.240267,1.444565,2
18_37_41_0573, 6,167,ShoulderLeft,4,-0.817404,0.097921,1.257464,2
18_37_41_0573, 6,167,ElbowLeft,5,-0.727836,-0.109047,1.087389,2
18_37_41_0573, 6,167,WristLeft,6,-0.654481,-0.127916,0.893327,1
18_37_41_0573, 6,167,HandLeft,7,-0.659153,-0.182486,0.838646,1
18_37_41_0573, 6,167,ShoulderRight,8,-0.680684,0.153950,1.448842,1
18_37_41_0573, 6,167,ElbowRight,9,-0.542628,0.013521,1.297873,1
18_37_41_0573, 6,167,WristRight,10,-0.410606,-0.149740,1.157616,2
18_37_41_0573, 6,167,HandRight,11,-0.381806,-0.228718,1.120419,2
18_37_41_0573, 6,167,HipLeft,12,-0.648048,-0.423135,1.094503,2
18_37_41_0573, 6,167,KneeLeft,13,-0.565196,-0.152657,0.908197,2
18_37_41_0573, 6,167,AnkleLeft,14,-0.480190,-0.661561,0.848879,1
18_37_41_0573, 6,167,FootLeft,15,-0.514566,-0.578460,0.907537,1
18_37_41_0573, 6,167,HipRight,16,-0.513169,-0.404946,1.158850,2
18_37_41_0573, 6,167,KneeRight,17,-0.397477,-0.185323,0.925654,2
18_37_41_0573, 6,167,AnkleRight,18,-0.575857,-0.634426,1.199438,2
18_37_41_0573, 6,167,FootRight,19,-0.562004,-0.696478,1.131596,1
18_37_41_0573, 6,167,SpineShoulder,20,-0.750820,0.094531,1.334912,2
18_37_41_0573, 6,167,HandTipLeft,21,-0.650105,-0.175543,0.823032,1
18_37_41_0573, 6,167,ThumbLeft,22,-0.643579,-0.178174,0.818830,1
18_37_41_0573, 6,167,HandTipRight,23,-0.340176,-0.242865,1.054455,2
18_37_41_0573, 6,167,ThumbRight,24,-0.383946,-0.248556,1.114700,2
18_37_41_0606, 7,200,SpineBase,0,-0.598164,-0.426331,1.159702,2
18_37_41_0606, 7,200,SpineMid,1,-0.689417,-0.122094,1.265541,2
18_37_41_0606, 7,200,Neck,2,-0.769572,0.163803,1.354347,2
18_37_41_0606, 7,200,Head,3,-0.860541,0.240326,1.444579,2
18_37_41_0606, 7,200,ShoulderLeft,4,-0.817082,0.097908,1.257163,2
18_37_41_0606, 7,200,ElbowLeft,5,-0.746784,-0.094794,1.095283,2
18_37_41_0606, 7,200,WristLeft,6,-0.680056,-0.060057,0.901118,1
18_37_41_0606, 7,200,HandLeft,7,-0.684778,-0.114566,0.846501,1
18_37_41_0606, 7,200,ShoulderRight,8,-0.680685,0.154435,1.448840,1
18_37_41_0606, 7,200,ElbowRight,9,-0.543180,0.012577,1.298935,1
18_37_41_0606, 7,200,WristRight,10,-0.412848,-0.151817,1.160812,2
18_37_41_0606, 7,200,HandRight,11,-0.386182,-0.229034,1.127293,2
18_37_41_0606, 7,200,HipLeft,12,-0.648046,-0.423227,1.094520,2
18_37_41_0606, 7,200,KneeLeft,13,-0.565669,-0.152552,0.908277,2
18_37_41_0606, 7,200,AnkleLeft,14,-0.480370,-0.661243,0.848864,1
18_37_41_0606, 7,200,FootLeft,15,-0.514527,-0.578277,0.907699,1
18_37_41_0606, 7,200,HipRight,16,-0.513440,-0.405108,1.158768,2
18_37_41_0606, 7,200,KneeRight,17,-0.397130,-0.185384,0.925948,2
18_37_41_0606, 7,200,AnkleRight,18,-0.576147,-0.634490,1.199505,2
18_37_41_0606, 7,200,FootRight,19,-0.562052,-0.696741,1.132132,1
18_37_41_0606, 7,200,SpineShoulder,20,-0.751049,0.094303,1.334563,2
18_37_41_0606, 7,200,HandTipLeft,21,-0.675547,-0.108327,0.830904,1
18_37_41_0606, 7,200,ThumbLeft,22,-0.668785,-0.111891,0.826732,1
18_37_41_0606, 7,200,HandTipRight,23,-0.314907,-0.225022,1.050580,2
18_37_41_0606, 7,200,ThumbRight,24,-0.387158,-0.253349,1.110582,2
18_37_41_0639, 8,233,SpineBase,0,-0.598130,-0.426607,1.159652,2
18_37_41_0639, 8,233,SpineMid,1,-0.689511,-0.122796,1.265096,2
18_37_41_0639, 8,233,Neck,2,-0.769918,0.162806,1.353445,2
18_37_41_0639, 8,233,Head,3,-0.859594,0.240328,1.443959,2
18_37_41_0639, 8,233,ShoulderLeft,4,-0.816949,0.097811,1.256857,2
18_37_41_0639, 8,233,ElbowLeft,5,-0.726116,-0.108267,1.086560,2
18_37_41_0639, 8,233,WristLeft,6,-0.652671,-0.125609,0.892493,1
18_37_41_0639, 8,233,HandLeft,7,-0.657346,-0.180180,0.837814,1
18_37_41_0639, 8,233,ShoulderRight,8,-0.680641,0.154527,1.448811,1
18_37_41_0639, 8,233,ElbowRight,9,-0.655498,-0.000570,1.213549,1
18_37_41_0639, 8,233,WristRight,10,-0.450146,-0.168035,1.136888,2
18_37_41_0639, 8,233,HandRight,11,-0.415794,-0.239769,1.132274,2
18_37_41_0639, 8,233,HipLeft,12,-0.647868,-0.423566,1.094596,2
18_37_41_0639, 8,233,KneeLeft,13,-0.566267,-0.152556,0.908431,2
18_37_41_0639, 8,233,AnkleLeft,14,-0.480491,-0.661047,0.848867,1
18_37_41_0639, 8,233,FootLeft,15,-0.514981,-0.578121,0.907497,1
18_37_41_0639, 8,233,HipRight,16,-0.513562,-0.405390,1.158497,2
18_37_41_0639, 8,233,KneeRight,17,-0.396933,-0.184904,0.926493,2
18_37_41_0639, 8,233,AnkleRight,18,-0.576551,-0.634400,1.198691,2
18_37_41_0639, 8,233,FootRight,19,-0.561898,-0.698980,1.137000,1
18_37_41_0639, 8,233,SpineShoulder,20,-0.751324,0.093372,1.333768,2
18_37_41_0639, 8,233,HandTipLeft,21,-0.648303,-0.173257,0.822193,1
18_37_41_0639, 8,233,ThumbLeft,22,-0.641785,-0.175915,0.817981,1
18_37_41_0639, 8,233,HandTipRight,23,-0.326779,-0.224487,1.061557,2
18_37_41_0639, 8,233,ThumbRight,24,-0.422923,-0.268875,1.071238,2
18_37_41_0673, 9,267,SpineBase,0,-0.598195,-0.426627,1.159672,2
18_37_41_0673, 9,267,SpineMid,1,-0.689561,-0.122832,1.265055,2
18_37_41_0673, 9,267,Neck,2,-0.769964,0.162790,1.353377,2
18_37_41_0673, 9,267,Head,3,-0.859783,0.240440,1.443514,2
18_37_41_0673, 9,267,ShoulderLeft,4,-0.816818,0.097841,1.256683,2
18_37_41_0673, 9,267,ElbowLeft,5,-0.726338,-0.108364,1.086427,2
18_37_41_0673, 9,267,WristLeft,6,-0.652947,-0.125983,0.892399,1
18_37_41_0673, 9,267,HandLeft,7,-0.657622,-0.180554,0.837719,1
18_37_41_0673, 9,267,ShoulderRight,8,-0.680471,0.155074,1.448981,1
18_37_41_0673, 9,267,ElbowRight,9,-0.656507,0.000364,1.213397,1
18_37_41_0673, 9,267,WristRight,10,-0.448347,-0.167461,1.146614,2
18_37_41_0673, 9,267,HandRight,11,-0.451622,-0.198082,1.150139,2
18_37_41_0673, 9,267,HipLeft,12,-0.647877,-0.423578,1.094613,2
18_37_41_0673, 9,267,KneeLeft,13,-0.566585,-0.152472,0.908373,2
18_37_41_0673, 9,267,AnkleLeft,14,-0.480598,-0.660899,0.848893,1
18_37_41_0673, 9,267,FootLeft,15,-0.514897,-0.578036,0.907635,1
18_37_41_0673, 9,267,HipRight,16,-0.513753,-0.405396,1.158474,2
18_37_41_0673, 9,267,KneeRight,17,-0.396487,-0.185285,0.926354,2
18_37_41_0673, 9,267,AnkleRight,18,-0.576799,-0.634728,1.198944,2
18_37_41_0673, 9,267,FootRight,19,-0.558235,-0.684446,1.111926,1
18_37_41_0673, 9,267,SpineShoulder,20,-0.751372,0.093350,1.333702,2
18_37_41_0673, 9,267,HandTipLeft,21,-0.648578,-0.173628,0.822101,1
18_37_41_0673, 9,267,ThumbLeft,22,-0.641797,-0.175932,0.817977,1
18_37_41_0673, 9,267,HandTipRight,23,-0.344872,-0.198029,1.065725,2
18_37_41_0673, 9,267,ThumbRight,24,-0.443572,-0.220987,1.128535,2
18_37_41_0705, 10,300,SpineBase,0,-0.598197,-0.426709,1.159712,2
18_37_41_0705, 10,300,SpineMid,1,-0.689626,-0.123113,1.264937,2
18_37_41_0705, 10,300,Neck,2,-0.770143,0.162329,1.353049,2
18_37_41_0705, 10,300,Head,3,-0.859455,0.240553,1.443011,2
18_37_41_0705, 10,300,ShoulderLeft,4,-0.816594,0.097805,1.256472,2
18_37_41_0705, 10,300,ElbowLeft,5,-0.743828,-0.097568,1.092356,2
18_37_41_0705, 10,300,WristLeft,6,-0.677134,-0.062822,0.898259,1
18_37_41_0705, 10,300,HandLeft,7,-0.681855,-0.117338,0.843638,1
18_37_41_0705, 10,300,ShoulderRight,8,-0.680420,0.155151,1.448991,1
18_37_41_0705, 10,300,ElbowRight,9,-0.657653,0.001204,1.212842,1
18_37_41_0705, 10,300,WristRight,10,-0.448578,-0.166605,1.149409,2
18_37_41_0705, 10,300,HandRight,11,-0.442880,-0.199242,1.147496,2
18_37_41_0705, 10,300,HipLeft,12,-0.647813,-0.423658,1.094656,2
18_37_41_0705, 10,300,KneeLeft,13,-0.566985,-0.152355,0.908436,2
18_37_41_0705, 10,300,AnkleLeft,14,-0.480687,-0.660638,0.848927,1
18_37_41_0705, 10,300,FootLeft,15,-0.515221,-0.577976,0.907628,1
18_37_41_0705, 10,300,HipRight,16,-0.513834,-0.405472,1.158486,2
18_37_41_0705, 10,300,KneeRight,17,-0.396848,-0.185379,0.926136,2
18_37_41_0705, 10,300,AnkleRight,18,-0.576990,-0.634594,1.198903,2
18_37_41_0705, 10,300,FootRight,19,-0.558061,-0.684442,1.112093,1
18_37_41_0705, 10,300,SpineShoulder,20,-0.751519,0.092931,1.333424,2
18_37_41_0705, 10,300,HandTipLeft,21,-0.672631,-0.111067,0.828042,1
18_37_41_0705, 10,300,ThumbLeft,22,-0.665878,-0.114589,0.823871,1
18_37_41_0705, 10,300,HandTipRight,23,-0.357059,-0.200150,1.083336,2
18_37_41_0705, 10,300,ThumbRight,24,-0.461581,-0.213073,1.086429,2
18_37_41_0738, 11,333,SpineBase,0,-0.598242,-0.426756,1.159725,2
18_37_41_0738, 11,333,SpineMid,1,-0.689608,-0.123225,1.264894,2
18_37_41_0738, 11,333,Neck,2,-0.770031,0.162185,1.352973,2
18_37_41_0738, 11,333,Head,3,-0.859543,0.240587,1.442393,2
18_37_41_0738, 11,333,ShoulderLeft,4,-0.816386,0.097762,1.256234,2
18_37_41_0738, 11,333,ElbowLeft,5,-0.745273,-0.095875,1.093672,2
18_37_41_0738, 11,333,WristLeft,6,-0.678583,-0.061148,0.899607,1
18_37_41_0738, 11,333,HandLeft,7,-0.683304,-0.115660,0.844989,1
18_37_41_0738, 11,333,ShoulderRight,8,-0.680167,0.155417,1.449092,1
18_37_41_0738, 11,333,ElbowRight,9,-0.543525,0.012969,1.299180,1
18_37_41_0738, 11,333,WristRight,10,-0.412095,-0.159097,1.158202,2
18_37_41_0738, 11,333,HandRight,11,-0.386052,-0.224891,1.121957,2
18_37_41_0738, 11,333,HipLeft,12,-0.647814,-0.423699,1.094663,2
18_37_41_0738, 11,333,KneeLeft,13,-0.567246,-0.152283,0.908420,2
18_37_41_0738, 11,333,AnkleLeft,14,-0.480764,-0.660514,0.848957,1
18_37_41_0738, 11,333,FootLeft,15,-0.515744,-0.578111,0.907542,1
18_37_41_0738, 11,333,HipRight,16,-0.513958,-0.405510,1.158479,2
18_37_41_0738, 11,333,KneeRight,17,-0.396738,-0.185524,0.926073,2
18_37_41_0738, 11,333,AnkleRight,18,-0.577064,-0.634671,1.198921,2
18_37_41_0738, 11,333,FootRight,19,-0.557833,-0.683794,1.111306,1
18_37_41_0738, 11,333,SpineShoulder,20,-0.751433,0.092794,1.333352,2
18_37_41_0738, 11,333,HandTipLeft,21,-0.674077,-0.109408,0.829394,1
18_37_41_0738, 11,333,ThumbLeft,22,-0.666248,-0.114170,0.824218,1
18_37_41_0738, 11,333,HandTipRight,23,-0.333596,-0.228317,1.021204,2
18_37_41_0738, 11,333,ThumbRight,24,-0.386123,-0.253200,1.109965,2
18_37_41_0773, 12,367,SpineBase,0,-0.598204,-0.426890,1.159818,2
18_37_41_0773, 12,367,SpineMid,1,-0.689623,-0.123486,1.264820,2
18_37_41_0773, 12,367,Neck,2,-0.770133,0.161821,1.352723,2
18_37_41_0773, 12,367,Head,3,-0.859266,0.240720,1.441900,2
18_37_41_0773, 12,367,ShoulderLeft,4,-0.816300,0.097707,1.255973,2
18_37_41_0773, 12,367,ElbowLeft,5,-0.745273,-0.095779,1.093655,2
18_37_41_0773, 12,367,WristLeft,6,-0.678594,-0.061058,0.899622,1
18_37_41_0773, 12,367,HandLeft,7,-0.683315,-0.115570,0.845004,1
18_37_41_0773, 12,367,ShoulderRight,8,-0.680145,0.155489,1.449092,1
18_37_41_0773, 12,367,ElbowRight,9,-0.544014,0.012499,1.299313,1
18_37_41_0773, 12,367,WristRight,10,-0.413193,-0.159109,1.158915,2
18_37_41_0773, 12,367,HandRight,11,-0.389491,-0.228798,1.129301,2
18_37_41_0773, 12,367,HipLeft,12,-0.647696,-0.423844,1.094751,2
18_37_41_0773, 12,367,KneeLeft,13,-0.567498,-0.152323,0.908431,2
18_37_41_0773, 12,367,AnkleLeft,14,-0.479304,0.200332,0.691003,1
18_37_41_0773, 12,367,FootLeft,15,-0.401028,0.251621,0.600851,1
18_37_41_0773, 12,367,HipRight,16,-0.513994,-0.405602,1.158534,2
18_37_41_0773, 12,367,KneeRight,17,-0.396843,-0.185692,0.925952,2
18_37_41_0773, 12,367,AnkleRight,18,-0.577143,-0.634779,1.198940,2
18_37_41_0773, 12,367,FootRight,19,-0.557759,-0.688698,1.117489,1
18_37_41_0773, 12,367,SpineShoulder,20,-0.751511,0.092454,1.333145,2
18_37_41_0773, 12,367,HandTipLeft,21,-0.674088,-0.109319,0.829409,1
18_37_41_0773, 12,367,ThumbLeft,22,-0.666264,-0.114132,0.824234,1
18_37_41_0773, 12,367,HandTipRight,23,-0.351340,-0.232446,1.057942,2
18_37_41_0773, 12,367,ThumbRight,24,-0.385197,-0.255192,1.114496,2
18_37_41_0806, 13,400,SpineBase,0,-0.598166,-0.426984,1.159860,2
18_37_41_0806, 13,400,SpineMid,1,-0.689540,-0.123626,1.264765,2
18_37_41_0806, 13,400,Neck,2,-0.769999,0.161698,1.352599,2
18_37_41_0806, 13,400,Head,3,-0.859395,0.240786,1.441121,2
18_37_41_0806, 13,400,ShoulderLeft,4,-0.816161,0.097699,1.255761,2
18_37_41_0806, 13,400,ElbowLeft,5,-0.727509,-0.109402,1.085972,2
18_37_41_0806, 13,400,WristLeft,6,-0.654228,-0.130595,0.892407,1
18_37_41_0806, 13,400,HandLeft,7,-0.658898,-0.185167,0.837723,1
18_37_41_0806, 13,400,ShoulderRight,8,-0.679966,0.155717,1.449131,1
18_37_41_0806, 13,400,ElbowRight,9,-0.543951,0.012564,1.299460,1
18_37_41_0806, 13,400,WristRight,10,-0.412649,-0.159918,1.158275,2
18_37_41_0806, 13,400,HandRight,11,-0.389122,-0.226233,1.130512,2
18_37_41_0806, 13,400,HipLeft,12,-0.647620,-0.423958,1.094786,2
18_37_41_0806, 13,400,KneeLeft,13,-0.567704,-0.152283,0.908494,2
18_37_41_0806, 13,400,AnkleLeft,14,-0.479896,0.200510,0.691135,1
18_37_41_0806, 13,400,FootLeft,15,-0.401610,0.251795,0.600993,1
18_37_41_0806, 13,400,HipRight,16,-0.513995,-0.405647,1.158551,2
18_37_41_0806, 13,400,KneeRight,17,-0.397017,-0.185772,0.925775,2
18_37_41_0806, 13,400,AnkleRight,18,-0.577142,-0.634799,1.198947,2
18_37_41_0806, 13,400,FootRight,19,-0.558248,-0.690616,1.120242,1
18_37_41_0806, 13,400,SpineShoulder,20,-0.751390,0.092324,1.333034,2
18_37_41_0806, 13,400,HandTipLeft,21,-0.649852,-0.178197,0.822119,1
18_37_41_0806, 13,400,ThumbLeft,22,-0.643330,-0.180792,0.817929,1
18_37_41_0806, 13,400,HandTipRight,23,-0.353468,-0.224088,1.073079,2
18_37_41_0806, 13,400,ThumbRight,24,-0.394731,-0.247000,1.131154,2
18_37_41_0840, 14,433,SpineBase,0,-0.598146,-0.427019,1.159864,2
18_37_41_0840, 14,433,SpineMid,1,-0.689570,-0.123790,1.264657,2
18_37_41_0840, 14,433,Neck,2,-0.770141,0.161431,1.352357,2
18_37_41_0840, 14,433,Head,3,-0.859220,0.241049,1.440486,2
18_37_41_0840, 14,433,ShoulderLeft,4,-0.816019,0.097674,1.255569,2
18_37_41_0840, 14,433,ElbowLeft,5,-0.727454,-0.109406,1.085798,2
18_37_41_0840, 14,433,WristLeft,6,-0.654244,-0.130056,0.892188,1
18_37_41_0840, 14,433,HandLeft,7,-0.658914,-0.184627,0.837504,1
18_37_41_0840, 14,433,ShoulderRight,8,-0.679971,0.155789,1.449127,1
18_37_41_0840, 14,433,ElbowRight,9,-0.658180,0.002332,1.212785,1
18_37_41_0840, 14,433,WristRight,10,-0.448384,-0.165385,1.152657,2
18_37_41_0840, 14,433,HandRight,11,-0.440878,-0.200823,1.147101,2
18_37_41_0840, 14,433,HipLeft,12,-0.647485,-0.424052,1.094858,2
